Phylum/broader classification,Order,Family,Genera,Species,LTU,Cruise Number,Date,Site,Tow Type,Tow #,Net #,Sample #,n,Label,Start Depth,End Depth,Depth Filtered,Volume Filtered,Corrected Volume Filtered,"Volume Filtered/10,000m3","n/10,000 m3","n/10,000m2",Mass (g),Mass Correction Factor,Corrected Mass (g),"g/10,000 m3","g/10,000m2",ETP Endemic?,Preservative,Broad Classification,Micronekton?,Jar Size,Comments
Arthropoda,Decapoda,Acanthephyridae,Acanthephyra,sp.,Acanthephyra sp.,DG5B,2021-03-18,PRZ,Day,S2,2,109,7,DG5B_M10_S2_2_109_Acanthephyra sp.,1000.2,852.1,148.1,28716.7,15953.72222,1.595372222,4.387690786,649.8170054,0.48,1.39,0.67,0.420922411,62.33860904,,,Crustacea,Yes,,
Arthropoda,Mysida,Mysidae,Boreomysis,sp.,Boreomysis sp.,DG5B,2021-03-18,PRZ,Day,S2,2,109,1,DG5B_M10_S2_2_109_Boreomysis sp.,1000.2,852.1,148.1,28716.7,15953.72222,1.595372222,0.626812969,92.83100078,0.04,1.66,0.06,0.036346295,5.382886243,,,Crustacea,Yes,,
Arthropoda,,,Crustacea,indet.,Crustacea indet.,DG5B,2021-03-18,PRZ,Day,S2,2,109,2,DG5B_M10_S2_2_109_Crustacea indet.,1000.2,852.1,148.1,28716.7,15953.72222,1.595372222,1.253625939,185.6620016,0.04,1.15,0.04,0.026745587,3.961021395,,,Crustacea,Yes,,
Arthropoda,Decapoda,Oplophoridae,Systellaspis,cristata,Systellaspis cristata,DG5B,2021-03-18,PRZ,Day,S2,2,109,1,DG5B_M10_S2_2_109_Systellaspis cristata,1000.2,852.1,148.1,28716.7,15953.72222,1.595372222,0.626812969,92.83100078,0.21,1.17,0.25,0.155276532,22.99645436,,,Crustacea,Yes,,
Chordata,Beryciformes,Melamphaidae,Scopeloberyx,malayanus,Scopeloberyx malayanus,DG5B,2021-03-21,PRZ,Night,S3,2,159,1,DG5B_M10_S3_2_159_Scopeloberyx malayanus,1000,851.4,148.6,31315,17397.22222,1.739722222,0.574804407,85.41593486,0.25,1.94,0.48,0.27871267,41.41670274,No,,Fish,Yes,,
Chordata,Beryciformes,Melamphaidae,Scopelogadus,bispinosus,Scopelogadus bispinosus,DG5B,2021-03-21,PRZ,Night,S3,2,159,7,DG5B_M10_S3_2_159_Scopelogadus bispinosus,1000,851.4,148.6,31315,17397.22222,1.739722222,4.023630848,597.911544,2.74,1.94,5.31,3.054690861,453.927062,Maybe,ETOH 100,Fish,Yes,,
Chordata,,,Osteichthyes,fam. gen. sp. juv.,Osteichthyes fam. gen. sp. juv.,DG5B,2021-03-21,PRZ,Night,S3,2,161,9,DG5B_M10_S3_2_161_Osteichthyes fam. gen. sp. juv.,1000,851.4,148.6,31315,17397.22222,1.739722222,5.173239662,768.7434137,0.45,1.00,0.45,0.258661983,38.43717068,CD,ETOH 100,Fish,Will be,SCINT,
Chordata,Myctophiformes,Myctophidae,Lampanyctus,sp.,Lampanyctus sp.,DG5B,2021-03-21,PRZ,Night,S3,2,162,4,DG5B_M10_S3_2_162_Lampanyctus sp.,1000,851.4,148.6,31315,17397.22222,1.739722222,2.299217627,341.6637394,0.20,1.67,0.33,0.191924751,28.52001793,CD,ETOH 100,Fish,Yes,,Juveniles+A151:T151
Arthropoda,Decapoda,Acanthephyridae,Acanthephyra,brevicarinata,Acanthephyra brevicarinata,DG5B,2021-03-21,PRZ,Night,S3,2,163,14,DG5B_M10_S3_2_163_Acanthephyra brevicarinata,1000,851.4,148.6,31315,17397.22222,1.739722222,8.047261696,1195.823088,41.23,1.39,57.32,32.94961681,4896.313058,,,Crustacea,Yes,,
Arthropoda,Decapoda,Acanthephyridae,Acanthephyra,sp.,Acanthephyra sp.,DG5B,2021-03-21,PRZ,Night,S3,2,163,1,DG5B_M10_S3_2_163_Acanthephyra sp.,1000,851.4,148.6,31315,17397.22222,1.739722222,0.574804407,85.41593486,0.08,1.39,0.10,0.059937455,8.906705781,,,Crustacea,Yes,,
Arthropoda,Decapoda,Oplophoridae,Systellaspis,braueri,Systellaspis braueri,DG5B,2021-03-21,PRZ,Night,S3,2,163,1,DG5B_M10_S3_2_163_Systellaspis braueri,1000,851.4,148.6,31315,17397.22222,1.739722222,0.574804407,85.41593486,0.12,1.17,0.13,0.077241361,11.47806623,,,Crustacea,Yes,,
Arthropoda,Mysida,Mysidae,Boreomysis,sp.,Boreomysis sp.,DG5B,2021-03-21,PRZ,Night,S3,2,164,11,DG5B_M10_S3_2_164_Boreomysis sp.,1000,851.4,148.6,31315,17397.22222,1.739722222,6.322848475,939.5752834,0.57,1.66,0.94,0.538050033,79.95423484,,,Crustacea,Yes,,Lost by FedEx
Arthropoda,Lophogastrida,Eucopiidae,Eucopia,grimaldii,Eucopia grimaldii,DG5B,2021-03-21,PRZ,Night,S3,2,164,4,DG5B_M10_S3_2_164_Eucopia grimaldii,1000,851.4,148.6,31315,17397.22222,1.739722222,2.299217627,341.6637394,0.43,1.39,0.60,0.342842241,50.94635707,,,Crustacea,Yes,,Lost by FedEx
Arthropoda,Lophogastrida,Eucopiidae,Eucopia,sculpticauda,Eucopia sculpticauda,DG5B,2021-03-21,PRZ,Night,S3,2,164,14,DG5B_M10_S3_2_164_Eucopia sculpticauda,1000,851.4,148.6,31315,17397.22222,1.739722222,8.047261696,1195.823088,1.97,1.39,2.74,1.576754644,234.3057401,,,Crustacea,Yes,,Lost by FedEx
Arthropoda,Decapoda,Acanthephyridae,Hymenodora,sp.,Hymenodora sp.,DG5B,2021-03-21,PRZ,Night,S3,2,164,1,DG5B_M10_S3_2_164_Hymenodora sp.,1000,851.4,148.6,31315,17397.22222,1.739722222,0.574804407,85.41593486,0.07,1.39,0.09,0.054343292,8.075413241,,,Crustacea,Yes,,Lost by FedEx
Arthropoda,Mysida,,Mysida,fam. gen. sp.,Mysida fam. gen. sp.,DG5B,2021-03-21,PRZ,Night,S3,2,164,,DG5B_M10_S3_2_164_Mysida fam. gen. sp.,1000,851.4,148.6,31315,17397.22222,1.739722222,0,0,0.08,1.44,0.12,0.067812977,10.07700836,,,Crustacea,Yes,,Lost by FedEx
Arthropoda,Decapoda,Sergestoidea,Sergia,sp.,Sergia sp.,DG5B,2021-03-21,PRZ,Night,S3,2,165,4,DG5B_M10_S3_2_165_Sergia sp.,1000,851.4,148.6,31315,17397.22222,1.739722222,2.299217627,341.6637394,0.48,1.38,0.66,0.379903739,56.45369568,,,Crustacea,Yes,,
Arthropoda,Amphipoda,,Amphipoda,fam. gen. sp.,Amphipoda fam. gen. sp.,DG5B,2021-03-21,PRZ,Night,S3,2,166,2,DG5B_M10_S3_2_166_Amphipoda fam. gen. sp.,1000,851.4,148.6,31315,17397.22222,1.739722222,1.149608814,170.8318697,0.20,1.00,0.20,0.114960881,17.08318697,,ETOH 100,Crustacea,YN,SCINT,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,acclinidens,Cyclothone acclinidens,DG5B,2021-03-21,PRZ,Night,S3,2,168,264,DG5B_M10_S3_2_168_Cyclothone acclinidens,1000,851.4,148.6,31315,17397.22222,1.739722222,151.7483634,22549.8068,30.39,2.18,66.19,38.04834708,5653.984376,No,,Fish,Yes,,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,pallida,Cyclothone pallida,DG5B,2021-03-21,PRZ,Night,S3,2,168,6,DG5B_M10_S3_2_168_Cyclothone pallida,1000,851.4,148.6,31315,17397.22222,1.739722222,3.448826441,512.4956091,1.02,2.18,2.22,1.277042251,189.7684785,No,,Fish,Yes,,
Arthropoda,Sergestoidea,Sergestidae,Sergestidae,gen. sp. juv.,Sergestidae gen. sp. juv.,DG5B,2021-03-21,PRZ,Night,S3,2,169,9,DG5B_M10_S3_2_169_Sergestidae gen. sp. juv.,1000,851.4,148.6,31315,17397.22222,1.739722222,5.173239662,768.7434137,0.14,5.09,0.71,0.40945405,60.8448718,,,Crustacea,Will be,,"Originally IDed as 'juvenile', not juvenile, by Ande Westerhausen"
Arthropoda,Euphausiacea,,Euphausiid,roundeye,Euphausiid roundeye,DG5B,2021-03-21,PRZ,Night,S3,2,169,4,DG5B_M10_S3_2_169_Euphausiid roundeye,1000,851.4,148.6,31315,17397.22222,1.739722222,2.299217627,341.6637394,0.03,1.00,0.03,0.017244132,2.562478046,,,Euphausiid,YN,,
Chordata,Stomiiformes,Stomiidae,Idiacanthus,sp. juv.,Idiacanthus sp. juv.,DG5B,2021-03-21,PRZ,Night,S3,2,169,1,DG5B_M10_S3_2_169_Idiacanthus sp. juv.,1000,851.4,148.6,31315,17397.22222,1.739722222,0.574804407,85.41593486,0.01,2.24,0.02,0.01285423,1.910138617,CD,ETOH 100,Fish,Will be,,
Chordata,,,Osteichthyes,fam. gen. sp. juv.,Osteichthyes fam. gen. sp. juv.,DG5B,2021-03-21,PRZ,Night,S3,2,169,2,DG5B_M10_S3_2_169_Osteichthyes fam. gen. sp. juv.,1000,851.4,148.6,31315,17397.22222,1.739722222,1.149608814,170.8318697,0.00,1.00,0.00,0,0,CD,ETOH 100,Fish,Will be,,
Arthropoda,Decapoda,Penaeoidea,Gennadas,scutatus,Gennadas scutatus,DG5B,2021-03-21,PRZ,Night,S3,2,170,1,DG5B_M10_S3_2_170_Gennadas scutatus,1000,851.4,148.6,31315,17397.22222,1.739722222,0.574804407,85.41593486,0.07,2.00,0.13,0.075960789,11.28777327,,,Crustacea,Yes,,
Arthropoda,Decapoda,Penaeoidea,Gennadas,sordidus,Gennadas sordidus,DG5B,2021-03-21,PRZ,Night,S3,2,170,3,DG5B_M10_S3_2_170_Gennadas sordidus,1000,851.4,148.6,31315,17397.22222,1.739722222,1.724413221,256.2478046,0.31,2.00,0.62,0.357543533,53.13096905,,,Crustacea,Yes,,
Arthropoda,Decapoda,Penaeoidea,Aristidae,gen. sp.,Aristidae gen. sp.,DG5B,2021-03-21,PRZ,Night,S3,2,170,1,DG5B_M10_S3_2_170_Aristidae gen. sp.,1000,851.4,148.6,31315,17397.22222,1.739722222,0.574804407,85.41593486,0.11,2.00,0.22,0.125415623,18.63676161,,,Crustacea,Yes,,
Chordata,Stomiiformes,Stomiidae,Bathophilus,filifer,Bathophilus filifer,DG5B,2021-03-21,PRZ,Night,S3,2,171,1,DG5B_M10_S3_2_171_Bathophilus filifer,1000,851.4,148.6,31315,17397.22222,1.739722222,0.574804407,85.41593486,1.47,2.24,3.29,1.889571849,280.7903767,No,,Fish,Yes,,
Chordata,Stomiiformes,Stomiidae,Idiacanthus,antrostomus,Idiacanthus antrostomus,DG5B,2021-03-21,PRZ,Night,S3,2,171,2,DG5B_M10_S3_2_171_Idiacanthus antrostomus,1000,851.4,148.6,31315,17397.22222,1.739722222,1.149608814,170.8318697,2.64,2.24,5.90,3.393516789,504.2765949,No,ETOH 100,Fish,Yes,,
Chordata,Stomiiformes,Stomiidae,Idiacanthus,sp.,Idiacanthus sp.,DG5B,2021-03-21,PRZ,Night,S3,2,171,2,DG5B_M10_S3_2_171_Idiacanthus sp.,1000,851.4,148.6,31315,17397.22222,1.739722222,1.149608814,170.8318697,0.08,2.24,0.18,0.102833842,15.28110894,CD,ETOH 100,Fish,Yes,,
Mollusca,Octopoda,Amphitretidae,Vitreledonella,richardi,Vitreledonella richardi,DG5B,2021-03-21,PRZ,Night,S3,2,172,1,DG5B_M10_S3_2_172_Vitreledonella richardi,1000,851.4,148.6,31315,17397.22222,1.739722222,0.574804407,85.41593486,410.00,1.00,410.00,235.6698068,35020.53329,,10% formalin,Cephalopoda,Yes,GALLON,2 10 ml vials isotopes (4) and extra (8) 
Mollusca,Oegopsina,Cranchiidae,Cranchiidae,stet.,Cranchiidae stet.,DG5B,2021-03-21,PRZ,Night,S3,2,173,1,DG5B_M10_S3_2_173_Cranchiidae stet.,1000,851.4,148.6,31315,17397.22222,1.739722222,0.574804407,85.41593486,1.80,1.00,1.80,1.034647932,153.7486827,,ETOH 100,Cephalopoda,Yes,SCINT,
Mollusca,Octopoda,Amphitretidae,Bolitaeninae,stet.,Bolitaeninae stet.,DG5B,2021-03-23,PRZ,Night,S4,2,223,1,DG5B_M10_S4_2_223_Bolitaeninae stet.,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.368614521,110.879248,69.95,1.00,69.95,25.78458577,7756.003399,,10% formalin,Cephalopoda,Yes,8,Muscle tissue sample taken 
Chordata,Anguilliformes,Nemichthyidae,Nemichthys,scolopaceus,Nemichthys scolopaceus,DG5B,2021-03-23,PRZ,Night,S4,2,224,1,DG5B_M10_S4_2_224_Nemichthys scolopaceus,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.368614521,110.879248,,2.10,0.00,0,0,CD,,Fish,Yes,,
Chordata,Anguilliformes,Nemichthyidae,Nemichthyidae,gen. sp.,Nemichthyidae gen. sp.,DG5B,2021-03-23,PRZ,Night,S4,2,224,2,DG5B_M10_S4_2_224_Nemichthyidae gen. sp.,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.737229043,221.7584961,24.30,2.10,51.14,18.85071005,5670.293582,No,,Fish,Yes,,To Jessie P. dissection
Chordata,Anguilliformes,Nemichthyidae,Nemichthyidae,gen. sp.,Nemichthyidae gen. sp.,DG5B,2021-03-23,PRZ,Night,S4,2,225,1,DG5B_M10_S4_2_225_Nemichthyidae gen. sp.,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.368614521,110.879248,15.31,2.10,32.22,11.87672308,3572.518302,CD,,Fish,Yes,,
Chordata,Argentiniformes,Bathylagidae,Bathylagoides,nigrigenys,Bathylagoides nigrigenys,DG5B,2021-03-23,PRZ,Night,S4,2,226,3,DG5B_M10_S4_2_226_Bathylagoides nigrigenys,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,1.105843564,332.6377441,5.24,2.02,10.57,3.897029555,1172.22649,OMZ,10% formalin,Fish,Yes,,
Chordata,Myctophiformes,Neoscopelidae,Scopelengys,tristis,Scopelengys tristis,DG5B,2021-03-23,PRZ,Night,S4,2,227,1,DG5B_M10_S4_2_227_Scopelengys tristis,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.368614521,110.879248,9.82,1.74,17.12,6.3100261,1898.055851,No,10% formalin,Fish,Yes,,
Chordata,Beryciformes,Melamphaidae,Melamphaes,acanthomus,Melamphaes acanthomus,DG5B,2021-03-23,PRZ,Night,S4,2,228,1,DG5B_M10_S4_2_228_Melamphaes acanthomus,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.368614521,110.879248,34.15,1.94,66.23,24.41517052,7344.083292,OMZ,10% formalin,Fish,Yes,,Look at Jessie P. data for ID
Chordata,Beryciformes,Melamphaidae,Scopelogadus,bispinosus,Scopelogadus bispinosus,DG5B,2021-03-23,PRZ,Night,S4,2,228,4,DG5B_M10_S4_2_228_Scopelogadus bispinosus,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,1.474458085,443.5169921,1.85,1.94,3.59,1.322637349,397.8493145,Maybe,10% formalin,Fish,Yes,,
Chordata,Stomiiformes,Stomiidae,Malacosteus,niger,Malacosteus niger,DG5B,2021-03-23,PRZ,Night,S4,2,229,1,DG5B_M10_S4_2_229_Malacosteus niger,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.368614521,110.879248,12.98,2.24,29.03,10.69973739,3218.481007,No,ETOH 100,Fish,Yes,,
Chordata,Gadiformes,Macrouridae,Nezumia,parini,Nezumia parini,DG5B,2021-03-23,PRZ,Night,S4,2,230,2,DG5B_M10_S4_2_230_Nezumia parini,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.737229043,221.7584961,50.09,1.67,83.80,30.88875591,9291.337777,OMZ,10% formalin,Fish,Yes,32,"Mainly off of Panama, Columbia, Ecuador, and Peru"
Arthropoda,Sergestoidea,Sergestidae,Sergestidae,gen. sp. juv.,Sergestidae gen. sp. juv.,DG5B,2021-03-23,PRZ,Night,S4,2,231,8,DG5B_M10_S4_2_231_Sergestidae gen. sp. juv.,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,2.948916171,887.0339842,0.13,5.09,0.66,0.243821971,73.34164902,,,Crustacea,Will be,,"Originally IDed as 'juvenile', not juvenile, by Ande Westerhausen"
Arthropoda,Euphausiacea,,Euphausiid,lobedeye,Euphausiid lobedeye,DG5B,2021-03-23,PRZ,Night,S4,2,231,3,DG5B_M10_S4_2_231_Euphausiid lobedeye,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,1.105843564,332.6377441,0.02,1.00,0.02,0.00737229,2.217584961,,,Euphausiid,YN,,
Arthropoda,Euphausiacea,,Euphausiid,roundeye,Euphausiid roundeye,DG5B,2021-03-23,PRZ,Night,S4,2,231,5,DG5B_M10_S4_2_231_Euphausiid roundeye,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,1.843072607,554.3962401,0.03,1.00,0.03,0.011058436,3.326377441,,,Euphausiid,YN,,
Chordata,Stomiiformes,Stomiidae,Idiacanthus,fasciola,Idiacanthus fasciola,DG5B,2021-03-23,PRZ,Night,S4,2,232,6,DG5B_M10_S4_2_232_Idiacanthus fasciola,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,2.211687128,665.2754882,0.48,2.24,1.07,0.395675959,119.0193285,No,10% formalin,Fish,Yes,,
Arthropoda,Decapoda,Acanthephyridae,Acanthephyra,brevicarinata,Acanthephyra brevicarinata,DG5B,2021-03-23,PRZ,Night,S4,2,233,7,DG5B_M10_S4_2_233_Acanthephyra brevicarinata,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,2.58030165,776.1547362,39.13,1.39,54.40,20.0523804,6031.756025,,,Crustacea,Yes,,
Arthropoda,Decapoda,Acanthephyridae,Acanthephyra,tenuipes,Acanthephyra tenuipes,DG5B,2021-03-23,PRZ,Night,S4,2,233,8,DG5B_M10_S4_2_233_Acanthephyra tenuipes,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,2.948916171,887.0339842,0.41,1.39,0.56,0.207560356,62.43415519,,,Crustacea,Yes,,
Arthropoda,Decapoda,Oplophoridae,Systellaspis,braueri,Systellaspis braueri,DG5B,2021-03-23,PRZ,Night,S4,2,233,2,DG5B_M10_S4_2_233_Systellaspis braueri,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.737229043,221.7584961,0.25,1.17,0.29,0.106820869,32.13171752,,,Crustacea,Yes,,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,acclinidens,Cyclothone acclinidens,DG5B,2021-03-23,PRZ,Night,S4,2,234,513,DG5B_M10_S4_2_234_Cyclothone acclinidens,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,189.0992495,56881.05424,57.40,2.18,125.03,46.08603421,13862.67909,No,,Fish,Yes,,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,pallida,Cyclothone pallida,DG5B,2021-03-23,PRZ,Night,S4,2,234,42,DG5B_M10_S4_2_234_Cyclothone pallida,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,15.4818099,4656.928417,6.13,2.18,13.35,4.921731528,1480.456844,No,,Fish,Yes,,
Mollusca,Octopoda,Amphitretidae,Bolitaeninae,stet.,Bolitaeninae stet.,DG5B,2021-03-23,PRZ,Night,S4,2,235,3,DG5B_M10_S4_2_235_Bolitaeninae stet.,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,1.105843564,332.6377441,30.15,1.00,30.15,11.11372782,3343.009328,,10% formalin,Cephalopoda,Yes,2,
Mollusca,Oegopsina,Squid,Squid,stet.,Squid stet.,DG5B,2021-03-23,PRZ,Night,S4,2,236,4,DG5B_M10_S4_2_236_Squid stet.,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,1.474458085,443.5169921,2.65,1.00,2.65,0.976828482,293.8300073,,ETOH 100,Cephalopoda,Yes,SCINT,
Chordata,Myctophiformes,Myctophidae,Lampanyctus,sp.,Lampanyctus sp.,DG5B,2021-03-23,PRZ,Night,S4,2,237,1,DG5B_M10_S4_2_237_Lampanyctus sp.,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.368614521,110.879248,0.04,1.67,0.07,0.024615765,7.404422013,CD,ETOH 100,Fish,Yes,,juvenile with photophores not visible
Chordata,Myctophiformes,Myctophidae,Lampanyctus,parvicauda,Lampanyctus parvicauda,DG5B,2021-03-23,PRZ,Night,S4,2,237,1,DG5B_M10_S4_2_237_Lampanyctus parvicauda,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.368614521,110.879248,0.05,1.67,0.08,0.030769706,9.255527516,Yes,ETOH 100,Fish,Yes,,
Arthropoda,Decapoda,Sergestoidea,Sergestes,orientalis,Sergestes orientalis,DG5B,2021-03-23,PRZ,Night,S4,2,238,1,DG5B_M10_S4_2_238_Sergestes orientalis,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.368614521,110.879248,0.04,1.38,0.05,0.018779603,5.648904569,,,Crustacea,Yes,,
Arthropoda,Decapoda,Sergestoidea,Sergestes,pectinatus,Sergestes pectinatus,DG5B,2021-03-23,PRZ,Night,S4,2,238,1,DG5B_M10_S4_2_238_Sergestes pectinatus,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.368614521,110.879248,0.12,1.38,0.16,0.060399264,18.16809848,,,Crustacea,Yes,,
Arthropoda,Decapoda,Sergestoidea,Sergestes,sp.,Sergestes sp.,DG5B,2021-03-23,PRZ,Night,S4,2,238,1,DG5B_M10_S4_2_238_Sergestes sp.,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.368614521,110.879248,0.10,1.38,0.13,0.048725456,14.65661726,,,Crustacea,Yes,,
Arthropoda,Decapoda,Sergestoidea,Sergia,laminata,Sergia laminata,DG5B,2021-03-23,PRZ,Night,S4,2,238,2,DG5B_M10_S4_2_238_Sergia laminata,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.737229043,221.7584961,0.85,1.38,1.17,0.432945982,130.2301513,,,Crustacea,Yes,,
Arthropoda,Decapoda,Sergestoidea,Sergia,tenuiremis,Sergia tenuiremis,DG5B,2021-03-23,PRZ,Night,S4,2,238,2,DG5B_M10_S4_2_238_Sergia tenuiremis,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.737229043,221.7584961,0.99,1.38,1.36,0.499943484,150.383,,,Crustacea,Yes,,
Arthropoda,Mysida,Mysidae,Boreomysis,sp.,Boreomysis sp.,DG5B,2021-03-23,PRZ,Night,S4,2,239,8,DG5B_M10_S4_2_239_Boreomysis sp.,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,2.948916171,887.0339842,0.33,1.66,0.54,0.200308975,60.25293971,,,Crustacea,Yes,,
Arthropoda,Lophogastrida,Eucopiidae,Eucopia,australis confer.,Eucopia australis confer.,DG5B,2021-03-23,PRZ,Night,S4,2,239,2,DG5B_M10_S4_2_239_Eucopia australis confer.,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.737229043,221.7584961,0.39,1.39,0.54,0.20038543,60.27593748,,,Crustacea,Yes,,
Arthropoda,Lophogastrida,Eucopiidae,Eucopia,grimaldii,Eucopia grimaldii,DG5B,2021-03-23,PRZ,Night,S4,2,239,4,DG5B_M10_S4_2_239_Eucopia grimaldii,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,1.474458085,443.5169921,0.97,1.39,1.35,0.497632361,149.6878141,,,Crustacea,Yes,,
Arthropoda,Lophogastrida,Eucopiidae,Eucopia,sculpticauda,Eucopia sculpticauda,DG5B,2021-03-23,PRZ,Night,S4,2,239,7,DG5B_M10_S4_2_239_Eucopia sculpticauda,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,2.58030165,776.1547362,0.68,1.39,0.94,0.347471411,104.5194005,,,Crustacea,Yes,,
Arthropoda,Lophogastrida,Eucopiidae,Eucopia,sp.,Eucopia sp.,DG5B,2021-03-23,PRZ,Night,S4,2,239,3,DG5B_M10_S4_2_239_Eucopia sp.,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,1.105843564,332.6377441,0.61,1.39,0.85,0.312109277,93.8824704,,,Crustacea,Yes,,
Arthropoda,Mysida,,Mysida,fam. gen. sp.,Mysida fam. gen. sp.,DG5B,2021-03-23,PRZ,Night,S4,2,239,4,DG5B_M10_S4_2_239_Mysida fam. gen. sp.,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,1.474458085,443.5169921,0.19,1.44,0.27,0.098642541,29.6716764,,,Crustacea,Yes,,
Arthropoda,Euphausiacea,Bentheuphausiidae,Bentheuphausia,amblyops,Bentheuphausia amblyops,DG5B,2021-03-23,PRZ,Night,S4,2,241,3,DG5B_M10_S4_2_241_Bentheuphausia amblyops,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,1.105843564,332.6377441,0.28,1.00,0.28,0.102474837,30.82443095,,,Euphausiid,YN,,
Arthropoda,Euphausiacea,Euphausiidae,Nematobrachion,flexipes,Nematobrachion flexipes,DG5B,2021-03-23,PRZ,Night,S4,2,241,1,DG5B_M10_S4_2_241_Nematobrachion flexipes,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.368614521,110.879248,0.06,1.00,0.06,0.020273799,6.098358641,,,Crustacea,YN,,
Arthropoda,Euphausiacea,Euphausiidae,Nematobrachion,sexspinosus,Nematobrachion sexspinosus,DG5B,2021-03-23,PRZ,Night,S4,2,241,1,DG5B_M10_S4_2_241_Nematobrachion sexspinosus,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.368614521,110.879248,0.05,1.00,0.05,0.018062112,5.433083153,,,Crustacea,YN,,
Arthropoda,Euphausiacea,Euphausiidae,Stylocheiron,maximum,Stylocheiron maximum,DG5B,2021-03-23,PRZ,Night,S4,2,241,1,DG5B_M10_S4_2_241_Stylocheiron maximum,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.368614521,110.879248,0.10,1.00,0.10,0.036124223,10.86616631,,,Crustacea,YN,,
Arthropoda,Amphipoda,,Amphipoda,fam. gen. sp.,Amphipoda fam. gen. sp.,DG5B,2021-03-23,PRZ,Night,S4,2,242,2,DG5B_M10_S4_2_242_Amphipoda fam. gen. sp.,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,0.737229043,221.7584961,0.20,1.00,0.20,0.073722904,22.17584961,,10% formalin,Crustacea,YN,VIAL,
Chordata,,,Osteichthyes,fam. gen. sp. juv.,Osteichthyes fam. gen. sp. juv.,DG5B,2021-03-23,PRZ,Night,S4,2,243,27,DG5B_M10_S4_2_243_Osteichthyes fam. gen. sp. juv.,1000.6,699.8,300.8,48831.5,27128.61111,2.712861111,9.952592077,2993.739697,1.35,1.00,1.35,0.497629604,149.6869848,CD,ETOH 100,Fish,Will be,SCINT,
Mollusca,Octopoda,Amphitretidae,Bolitaeninae,stet.,Bolitaeninae stet.,DG5B,2021-03-24,PRZ,Night,S5,2,315,1,DG5B_M10_S5_2_315_Bolitaeninae stet.,1000.2,700.4,299.8,49073.5,27263.05556,2.726305556,0.366796744,109.9656637,317.00,1.00,317.00,116.2745677,34859.11541,,ETOH 100,Cephalopoda,Yes,GALLON,
Chordata,Beryciformes,Melamphaidae,Melamphaes,sp.,Melamphaes sp.,DG5B,2021-03-24,PRZ,Night,S5,2,316,1,DG5B_M10_S5_2_316_Melamphaes sp.,1000.2,700.4,299.8,49073.5,27263.05556,2.726305556,0.366796744,109.9656637,0.12,1.94,0.23,0.085369617,25.59381107,CD,,Fish,Yes,,
Chordata,Beryciformes,Melamphaidae,Scopeloberyx,malayanus,Scopeloberyx malayanus,DG5B,2021-03-24,PRZ,Night,S5,2,316,2,DG5B_M10_S5_2_316_Scopeloberyx malayanus,1000.2,700.4,299.8,49073.5,27263.05556,2.726305556,0.733593487,219.9313275,0.79,1.94,1.53,0.562016643,168.4925896,No,10% formalin,Fish,Yes,,
